"Ehrhoff, Christian",D,BUF,79,6,27,33,0.417721519,-27,38,49,119,1,11,1,2,2,161,0.037
"Schultz, Justin",D,EDM,74,11,22,33,0.445945946,-22,16,30,107,1,11,0,0,3,109,0.101
"Garbutt, Ryan",F,DAL,75,17,15,32,0.426666667,10,106,141,47,0,0,2,0,1,165,0.103
"Spaling, Nick",F,NAS,71,13,19,32,0.450704225,2,14,42,32,3,3,1,0,1,85,0.153
"Mitchell, John",F,COL,75,11,21,32,0.426666667,13,36,112,51,3,0,0,1,2,107,0.103
"Berglund, Patrik",F,STL,78,14,18,32,0.41025641,10,38,88,30,2,2,0,0,2,144,0.097
"Whitney, Ray",F,DAL,69,9,23,32,0.463768116,-6,14,14,16,3,12,0,0,0,124,0.073
"Faulk, Justin",D,CAR,76,5,27,32,0.421052632,-9,37,94,102,2,6,0,1,1,152,0.033
"Greene, Andy",D,NJD,82,8,24,32,0.390243902,3,32,87,129,3,10,0,2,3,134,0.06
"Palmieri, Kyle",F,ANA,71,14,17,31,0.436619718,9,38,96,31,0,0,0,0,4,147,0.095
"Fehr, Eric",F,WAS,73,13,18,31,0.424657534,0,32,81,33,0,1,0,1,2,137,0.095
"Galchenyuk, Alex",F,MTL,65,13,18,31,0.476923077,-12,26,49,25,3,7,0,0,2,110,0.118
"Gerbe, Nathan",F,BUF,81,16,15,31,0.382716049,-6,36,53,15,3,4,2,0,1,221,0.072
"Brodie, T.J.",D,CGY,81,4,27,31,0.382716049,0,20,58,130,1,6,0,2,2,104,0.038
"Gardiner, Jake",D,TOR,80,10,21,31,0.3875,-3,19,108,87,2,9,1,0,1,136,0.074
"Leddy, Nick",D,CHI,82,7,24,31,0.378048781,10,10,52,45,4,6,0,0,1,123,0.057
"Carle, Matthew",D,TBL,82,2,29,31,0.378048781,11,28,46,161,1,6,0,0,0,115,0.017
"Phaneuf, Dion",D,TOR,80,8,23,31,0.3875,2,144,227,156,2,9,0,1,0,145,0.055
